Precision,Recall
0.983871,0.0833333
0.968254,0.166667
0.96875,0.166667
0.969231,0.166667
0.969697,0.166667
0.970149,0.166667
0.970588,0.166667
0.956522,0.25
0.957143,0.25
0.957746,0.25
0.958333,0.25
0.958904,0.25
0.959459,0.25
0.96,0.25
0.960526,0.25
0.948052,0.333333
0.948718,0.333333
0.949367,0.333333
0.95,0.333333
0.950617,0.333333
0.95122,0.333333
0.951807,0.333333
0.940476,0.416667
0.941176,0.416667
0.930233,0.5
0.931034,0.5
0.931818,0.5
0.932584,0.5
0.933333,0.5
0.934066,0.5
0.923913,0.583333
0.924731,0.583333
0.925532,0.583333
0.915789,0.666667
0.90625,0.75
0.907216,0.75
0.908163,0.75
0.909091,0.75
0.91,0.75
0.910891,0.75
0.911765,0.75
0.912621,0.75
0.913462,0.75
0.914286,0.75
0.915094,0.75
0.915888,0.75
0.916667,0.75
0.917431,0.75
0.918182,0.75
0.918919,0.75
0.919643,0.75
0.920354,0.75
0.912281,0.833333
0.913043,0.833333
0.905172,0.916667
0.905983,0.916667
0.898305,1
0.89916,1
0.9,1
